"id"	"address"	"status"	"first_listed"	"bedrooms"	"bathrooms"	"summary"	"sqft"	"asking_price"	"photo_1"	"photo_2"	"photo_3"	"photo_4"	"phone"	"community"	"created_at"	"updated_at"	"hoa_id"	"users_id"
"11"	"15509 Huel Freeway, Kreigerberg, MS 93337"	"1"	"8/6/2012"	"1"	"3"	"Et libero facere. Quo neque aspernatur. Dolore voluptate quibusdam. Veniam libero sed."	"2021 sq. ft."	"$160886"	"https://loremflickr.com/320/240/homes_for_sale?random=22"	"https://loremflickr.com/320/240/homes_for_sale?random=24"	"https://loremflickr.com/320/240/homes_for_sale?random=27"	"https://loremflickr.com/320/240/homes_for_sale?random=31"	"503.488.4243 x0662"		"27/3/2021 00:44:52.266223"	"27/3/2021 00:44:52.266223"	"3"	"6"
"12"	"84496 Gutmann Mountain, Charlottside, MT 93423-1270"	"1"	"21/3/2020"	"2"	"1"	"Maxime omnis rerum. Est reiciendis ratione."	"4747 sq. ft."	"$18956069"	"https://loremflickr.com/320/240/homes_for_sale?random=24"	"https://loremflickr.com/320/240/homes_for_sale?random=26"	"https://loremflickr.com/320/240/homes_for_sale?random=29"	"https://loremflickr.com/320/240/homes_for_sale?random=33"	"949-474-0802 x9874"		"27/3/2021 00:44:53.150025"	"27/3/2021 00:44:53.150025"	"8"	"8"
"13"	"Apt. 490 492 Berniece Trafficway, Cummerataberg, LA 85826"	"1"	"28/4/2004"	"4"	"5"	"Et sequi exercitationem. Mollitia vel natus."	"5487 sq. ft."	"$4379379"	"https://loremflickr.com/320/240/homes_for_sale?random=26"	"https://loremflickr.com/320/240/homes_for_sale?random=28"	"https://loremflickr.com/320/240/homes_for_sale?random=31"	"https://loremflickr.com/320/240/homes_for_sale?random=35"	"305.874.5529"		"27/3/2021 00:44:54.156266"	"27/3/2021 00:44:54.156266"	"9"	"5"
"14"	"Suite 619 169 Shannon Lock, Kozeytown, VT 43449-3495"	"1"	"2/6/2010"	"5"	"5"	"Recusandae enim dolores. Quis et est."	"5630 sq. ft."	"$6134363"	"https://loremflickr.com/320/240/homes_for_sale?random=28"	"https://loremflickr.com/320/240/homes_for_sale?random=30"	"https://loremflickr.com/320/240/homes_for_sale?random=33"	"https://loremflickr.com/320/240/homes_for_sale?random=37"	"943-489-4801 x96015"		"27/3/2021 00:44:55.131287"	"27/3/2021 00:44:55.131287"	"7"	"6"
"15"	"Apt. 689 52701 Tyree Crescent, Deweyville, AK 54927-5870"	"1"	"7/11/2016"	"5"	"1"	"Neque dolorem dolore. Deleniti non nulla."	"3321 sq. ft."	"$421052"	"https://loremflickr.com/320/240/homes_for_sale?random=30"	"https://loremflickr.com/320/240/homes_for_sale?random=32"	"https://loremflickr.com/320/240/homes_for_sale?random=35"	"https://loremflickr.com/320/240/homes_for_sale?random=39"	"(182) 636-5095 x354"		"27/3/2021 00:44:56.044594"	"27/3/2021 00:44:56.044594"	"7"	"6"
"16"	"568 Lois Trace, Lake Marcosbury, SC 58562"	"1"	"11/1/2013"	"3"	"5"	"Quod commodi quisquam. Impedit molestias provident. Aliquid eligendi consequuntur."	"4557 sq. ft."	"$27917496"	"https://loremflickr.com/320/240/homes_for_sale?random=32"	"https://loremflickr.com/320/240/homes_for_sale?random=34"	"https://loremflickr.com/320/240/homes_for_sale?random=37"	"https://loremflickr.com/320/240/homes_for_sale?random=41"	"973.340.5284 x159"		"27/3/2021 00:44:56.926821"	"27/3/2021 00:44:56.926821"	"7"	"7"
"17"	"7007 Laverne Landing, North Nicholaschester, LA 26541-8474"	"1"	"2/12/2017"	"5"	"4"	"Quas nobis qui. Facere voluptatum nihil. Minus iste impedit. Soluta et quasi."	"1505 sq. ft."	"$42238"	"https://loremflickr.com/320/240/homes_for_sale?random=34"	"https://loremflickr.com/320/240/homes_for_sale?random=36"	"https://loremflickr.com/320/240/homes_for_sale?random=39"	"https://loremflickr.com/320/240/homes_for_sale?random=43"	"623.844.7912"		"27/3/2021 00:44:57.92004"	"27/3/2021 00:44:57.92004"	"9"	"7"
"18"	"49124 Oberbrunner Springs, Karlton, LA 57371-8983"	"1"	"4/1/2007"	"4"	"2"	"Eum alias ea. Impedit suscipit non. Qui minima aut. Assumenda consequatur impedit. Autem non voluptas."	"3425 sq. ft."	"$22603063"	"https://loremflickr.com/320/240/homes_for_sale?random=36"	"https://loremflickr.com/320/240/homes_for_sale?random=38"	"https://loremflickr.com/320/240/homes_for_sale?random=41"	"https://loremflickr.com/320/240/homes_for_sale?random=45"	"(908) 238-2375 x8057"		"27/3/2021 00:44:58.891377"	"27/3/2021 00:44:58.891377"	"6"	"8"
"19"	"Apt. 727 3834 Bode Prairie, Lakeishamouth, NV 06838"	"1"	"29/10/2009"	"3"	"1"	"Et exercitationem non. Animi consequatur necessitatibus."	"5707 sq. ft."	"$18409447"	"https://loremflickr.com/320/240/homes_for_sale?random=38"	"https://loremflickr.com/320/240/homes_for_sale?random=40"	"https://loremflickr.com/320/240/homes_for_sale?random=43"	"https://loremflickr.com/320/240/homes_for_sale?random=47"	"838.174.4298 x6586"		"27/3/2021 00:44:59.826137"	"27/3/2021 00:44:59.826137"	"9"	"5"
"20"	"Apt. 807 860 Corliss Rapid, Mannfort, PA 33055-4648"	"1"	"17/12/2002"	"3"	"2"	"Dolores repellendus inventore. Cum cupiditate aliquid. Et omnis sed. Sit corrupti deserunt."	"5426 sq. ft."	"$22590989"	"https://loremflickr.com/320/240/homes_for_sale?random=40"	"https://loremflickr.com/320/240/homes_for_sale?random=42"	"https://loremflickr.com/320/240/homes_for_sale?random=45"	"https://loremflickr.com/320/240/homes_for_sale?random=49"	"1-408-356-1757 x06631"		"27/3/2021 00:45:00.726787"	"27/3/2021 00:45:00.726787"	"7"	"6"
"21"	"Apt. 452 390 Joaquin Parks, Lake Vaughnton, AL 95434-0840"	"1"	"5/5/2012"	"3"	"1"	"Perferendis ea est. Qui temporibus voluptas. Voluptatem porro soluta. Nostrum facere animi."	"1279 sq. ft."	"$21773025"	"https://loremflickr.com/320/240/homes_for_sale?random=42"	"https://loremflickr.com/320/240/homes_for_sale?random=44"	"https://loremflickr.com/320/240/homes_for_sale?random=47"	"https://loremflickr.com/320/240/homes_for_sale?random=51"	"361-849-1418 x06413"		"27/3/2021 00:45:01.714659"	"27/3/2021 00:45:01.714659"	"4"	"7"
"22"	"6241 Hansen Green, East Hai, OK 91247-4220"	"2"	"3/10/2017"	"4"	"5"	"Cumque sunt dolor. Dolor quas nesciunt. In itaque est. Atque nisi maxime. Est non et."	"2380 sq. ft."	"$21018899"	"https://loremflickr.com/320/240/homes_for_sale?random=44"	"https://loremflickr.com/320/240/homes_for_sale?random=46"	"https://loremflickr.com/320/240/homes_for_sale?random=49"	"https://loremflickr.com/320/240/homes_for_sale?random=53"	"526-599-7418 x451"		"27/3/2021 00:45:02.656833"	"27/3/2021 00:45:02.656833"	"1"	"5"
"23"	"663 Kuhlman Trail, McGlynnborough, KS 19219-0652"	"1"	"12/2/2008"	"2"	"4"	"Cupiditate ut ipsa. Aperiam quidem accusantium. Necessitatibus voluptatem est. Harum voluptas accusantium. Nulla qui eveniet."	"5087 sq. ft."	"$273424"	"https://loremflickr.com/320/240/homes_for_sale?random=46"	"https://loremflickr.com/320/240/homes_for_sale?random=48"	"https://loremflickr.com/320/240/homes_for_sale?random=51"	"https://loremflickr.com/320/240/homes_for_sale?random=55"	"553-825-0276 x42191"		"27/3/2021 00:45:03.565163"	"27/3/2021 00:45:03.565163"	"8"	"6"
"24"	"Suite 630 8969 Kovacek Path, Sommerfort, AZ 90705-2487"	"1"	"26/1/2004"	"3"	"5"	"Quibusdam nulla error. Sunt maxime voluptatem. Voluptatem voluptas aut. Veritatis id quis. Ab autem dolorem."	"4252 sq. ft."	"$23491744"	"https://loremflickr.com/320/240/homes_for_sale?random=48"	"https://loremflickr.com/320/240/homes_for_sale?random=50"	"https://loremflickr.com/320/240/homes_for_sale?random=53"	"https://loremflickr.com/320/240/homes_for_sale?random=57"	"376-147-2907 x096"		"27/3/2021 00:45:04.454999"	"27/3/2021 00:45:04.454999"	"5"	"6"
"25"	"Apt. 468 65566 Jennefer Brooks, Gibsonport, AR 22793-9623"	"2"	"13/5/2009"	"1"	"5"	"Reiciendis nemo natus. Ut consequatur fugit."	"2580 sq. ft."	"$27635362"	"https://loremflickr.com/320/240/homes_for_sale?random=50"	"https://loremflickr.com/320/240/homes_for_sale?random=52"	"https://loremflickr.com/320/240/homes_for_sale?random=55"	"https://loremflickr.com/320/240/homes_for_sale?random=59"	"1-503-757-1278 x3121"		"27/3/2021 00:45:05.451487"	"27/3/2021 00:45:05.451487"	"9"	"8"
"26"	"2659 Hoeger Pass, Dooleyborough, MD 86745"	"2"	"4/7/2007"	"4"	"3"	"Veniam vel ab. Modi porro impedit. Nulla et vero."	"1329 sq. ft."	"$1958947"	"https://loremflickr.com/320/240/homes_for_sale?random=52"	"https://loremflickr.com/320/240/homes_for_sale?random=54"	"https://loremflickr.com/320/240/homes_for_sale?random=57"	"https://loremflickr.com/320/240/homes_for_sale?random=61"	"(747) 789-3367"		"27/3/2021 00:45:06.392426"	"27/3/2021 00:45:06.392426"	"8"	"6"
"27"	"46555 Lynch Shoals, North Bronwyn, WI 84609"	"1"	"22/2/2003"	"5"	"5"	"Perferendis qui consequatur. Ut dolor ut. Consequatur sequi ullam. Ducimus et ea. Distinctio quam culpa."	"1099 sq. ft."	"$14142179"	"https://loremflickr.com/320/240/homes_for_sale?random=54"	"https://loremflickr.com/320/240/homes_for_sale?random=56"	"https://loremflickr.com/320/240/homes_for_sale?random=59"	"https://loremflickr.com/320/240/homes_for_sale?random=63"	"293.203.4774 x843"		"27/3/2021 00:45:07.278998"	"27/3/2021 00:45:07.278998"	"4"	"7"
"28"	"Suite 740 9118 Ben Park, Adinaland, AK 59078-8739"	"1"	"10/5/2006"	"2"	"5"	"Ea ipsum architecto. Dolor voluptatem nihil. Dolore ipsam facilis."	"3506 sq. ft."	"$14356249"	"https://loremflickr.com/320/240/homes_for_sale?random=56"	"https://loremflickr.com/320/240/homes_for_sale?random=58"	"https://loremflickr.com/320/240/homes_for_sale?random=61"	"https://loremflickr.com/320/240/homes_for_sale?random=65"	"457.921.8204"		"27/3/2021 00:45:08.184038"	"27/3/2021 00:45:08.184038"	"5"	"8"
"29"	"58126 Candida Forges, Wisozkbury, TN 38856-7948"	"1"	"29/12/2007"	"4"	"1"	"Pariatur quia molestiae. Quaerat hic quia."	"5253 sq. ft."	"$12349522"	"https://loremflickr.com/320/240/homes_for_sale?random=58"	"https://loremflickr.com/320/240/homes_for_sale?random=60"	"https://loremflickr.com/320/240/homes_for_sale?random=63"	"https://loremflickr.com/320/240/homes_for_sale?random=67"	"261.325.8773 x7766"		"27/3/2021 00:45:09.162018"	"27/3/2021 00:45:09.162018"	"8"	"5"
"30"	"686 Olen Throughway, Yundttown, WV 05075-3498"	"1"	"26/1/2006"	"3"	"3"	"Rerum cupiditate quae. Maiores maxime ratione. Reprehenderit in accusamus. Tempora et et. Iste reiciendis aspernatur."	"4847 sq. ft."	"$27126781"	"https://loremflickr.com/320/240/homes_for_sale?random=60"	"https://loremflickr.com/320/240/homes_for_sale?random=62"	"https://loremflickr.com/320/240/homes_for_sale?random=65"	"https://loremflickr.com/320/240/homes_for_sale?random=69"	"(489) 438-2963 x79459"		"27/3/2021 00:45:10.109067"	"27/3/2021 00:45:10.109067"	"3"	"6"
